cold_time,inference_time,answer,note
9.084485200000927,1.3063137279823422," ""'Stuff it into you,' his belly counseled him.",triton-auto-mixtral
9.076932040043175,1.2029697119724005," ""'Stuff it into you,' his belly counseled him.",triton-auto-mixtral
9.08105821791105,1.2123326630098745," ""'Stuff it into you,' his belly counseled him.",triton-auto-mixtral
9.07493138499558,1.1708966430742294," ""'Stuff it into you,' his belly counseled him.",triton-auto-mixtral
9.071423687040806,1.2060687789926305," ""'Stuff it into you,' his belly counseled him.",triton-auto-mixtral
9.102000279002823,1.2034635650925338," ""'Stuff it into you,' his belly counseled him.",triton-auto-mixtral
9.05049242603127,1.18548445799388," ""'Stuff it into you,' his belly counseled him.",triton-auto-mixtral
9.14437941100914,1.2905097709735855," ""'Stuff it into you,' his belly counseled him.",triton-auto-mixtral
9.075481223058887,1.2229658829746768," ""'Stuff it into you,' his belly counseled him.",triton-auto-mixtral
9.140877654077485,1.2760040019638836," ""'Stuff it into you,' his belly counseled him.",triton-auto-mixtral
